id,name,latitude,longitude,free_bikes,empty_slots,station_number,slots
066c99293af108ece27d9b0436c30cc4,Riverside Museum,55.865683,-4.305367,6,0,8416,6
0a106cbc148d5a0c2535b51c1dbe3b4d,Parkhead,55.846524,-4.197475,4,4,8470,8
0cc8c09950e1435ee7782478ed292fef,Tollcross International Swimming Centre,55.84425,-4.176167,5,1,8200,6
0e94d2ad012bff0cf23497963ff5fd77,Shields Road,55.845807,-4.275232,5,3,8403,8
101c6cd7749f373507e9444f5222b7f2,Shawlands Shopping Centre (Kilmarnock Road),55.829057,-4.282675,4,3,8453,8
1036625d677b2d21e2aaec9fec0aa3cb,Shields Road Subway,55.849924,-4.273727,0,9,8482,10
10998482c3187c80b1fc322bee154cb6,Alexandra Parade (West) - ELECTRIC,55.864472,-4.223208,0,8,8468,8
1172741997ccd599fa530bfb8451808c,City of Glasgow College (Riverside Campus) - ELECTRIC,55.850554,-4.248127,2,4,8442,6
1179f511143ae9898181016b37d85b5a,Whiteinch Library,55.874555,-4.333357,5,3,8203,8
12aac9e40a335ee43b231c94972a7a69,St Rollox,55.878152,-4.242439,0,8,8236,8
1d0ef65099a882d9ca47c5e290a642a9,Corkerhill Railway Station,55.836355,-4.335149,7,3,8208,10
27e224157e6a5dcec09cd3ad37b62315,Springfield Quay 2,55.854391,-4.274764,4,2,8462,6
28ae77e57c39887ceab9e2b2eb3a0e3a,University of Strathclyde (South) - ELECTRIC,55.860633,-4.2419,1,10,8433,12
2a86fb913aad33c3e3deee02dd93f76d,Buchanan Street Bus Station - ELECTRIC,55.864993,-4.252567,4,6,8404,10
2b7a24c5351796cdc372275308f7cfc9,Springburn Railway Station,55.882232,-4.230428,1,7,8237,8
2c49302c8bb3a00373f898594228a941,London Road Central,55.847638,-4.202957,5,5,8474,10
2cfbd10e44bf17c20e682172e1cb026d,Glasgow Kelvin College East,55.857858,-4.203123,1,9,8489,10
2ee7f8a8347b8ee388d6beeef94c837d,Scotstoun South,55.875431,-4.342325,9,1,8311,12
3860eb7809fcced150d10d78ca2a165c,"University Hospital, Queen Eliza",55.862838,-4.341885,7,1,8450,8
3870596cc1a00a724f4ed1037e103977,Pollokshaws West Railway Station,55.824907,-4.299678,2,8,8481,10
3c3dcd5ab1d1b41a307a4436823f798a,Kelvinhall Subway,55.870857,-4.300665,3,3,8314,6
3ddf8661cd54b63e042898f8c83b38e0,Glasgow Caledonian University - ELECTRIC,55.865817,-4.251367,2,4,8405,6
3ff58e3afee22e9aeef8b1e95650e749,St George's Cross - ELECTRIC,55.871367,-4.269117,3,3,8408,4
4569cc932fe326799b99930cad84c476,Possil Health Centre (Saracen Street) - ELECTRIC,55.881493,-4.254465,3,5,8414,8
47a68fd067ea7f71ee08c1fbdd7c9c9b,Glasgow Science Centre,55.8585,-4.292972,5,5,8426,10
540d5877eb2aa25add536be07be49962,Kelvinbridge Subway - ELECTRIC,55.87501,-4.280371,2,5,8418,8
5542f3a29121984f8bab4d281d63bedd,People's Palace,55.852086,-4.237032,2,8,8485,10
573cb802d312c0c7388eeb86b7df2b16,Maryhill Library,55.891127,-4.290879,0,8,8213,8
57d53cfefc9f5e8871e9758b1f6128f8,Clifton St / Kelvingrove Park East,55.86698,-4.278874,0,10,8205,10
5a527c8ff4d91a318d173dbdbce298c0,Eglinton Toll - ELECTRIC,55.843308,-4.26217,1,5,8446,6
5a611496ed54f7f74525c262367db06f,Yorkhill Street South,55.864135,-4.292988,5,3,8310,8
5aef9920fd2384a972eafa84aa577439,Argyle Street Railway Station - ELECTRIC,55.857575,-4.249976,2,5,8411,7
5c9021a0e68ddd0d3e47cc90e59c77c8,Pollokshields East Railway,55.841494,-4.269701,0,10,8210,10
5d5e2ae1a3a0fe0075c7a9d3432e736b,Cessnock Subway Station - ELECTRIC,55.85196,-4.294538,4,4,8444,10
5dc194cece6b94f85ccf2c373802e7cc,CoMo Pop up hub (temp),55.82533,-4.257,2,0,8499,1
6006222102c4bdaf1e119fc089393312,Port Dundas,55.877822,-4.254817,1,7,8469,8
6250eaa7a4d4ffac2452eb0509ccbd59,Broomhill,55.871005,-4.321313,2,10,8233,12
64351cf3fd58727dbb26147dec40e855,Duke Street Railway Station,55.858222,-4.213473,0,8,8458,8
654cfe414a7d682dfffd1259586b364f,Scottish Event Campus (formerly S.E.C.C),55.859081,-4.287211,3,5,8415,8
65a1fded1cfdaf39b8c7ea2cc561144b,Bellahouston Park,55.849072,-4.314376,11,0,8201,8
66bf0c2b0588b8c742caeb43d89a82c2,Alexandra Park (south entrance) Alexandra Parade Railway Station,55.863128,-4.210282,1,6,8457,7
6c5f3eaafa4323831910bb404125cef9,Glasgow Central West,55.858587,-4.259847,1,6,8216,8
6dd6aeaa689caacc619659b44bebb9c7,Clyde Place Quay,55.854931,-4.260144,1,9,8483,10
6e1c95db152793f835bd905855c13c04,Glasgow Green - Saltmarket / Clyde Place - ELECTRIC,55.853176,-4.246661,2,6,8460,8
6f47ac14f7aaa6b2c04936f30a5c2bb6,University of Glasgow (East) - ELECTRIC,55.871763,-4.27807,2,5,8435,5
70c80c14fe5f7f1049a85e33856137ec,Trongate,55.855961,-4.244671,3,2,8431,5
71b02b6f26f03e58c97dec1e1c9faa00,Botanic Gardens - ELECTRIC,55.878278,-4.288487,2,5,8417,8
7245bbeaa7a5357af921174d7ae855d4,Broomielaw - ELECTRIC,55.8566,-4.263521,0,14,8413,16
7ad6b0b3be3cb3d85e687bdf53358611,The Round Toll,55.87422,-4.26136,1,6,8218,8
7f57f6deed054209b94f5d22e1bb5b68,Firhill Road - ELECTRIC,55.878787,-4.26877,1,5,8464,7
7fd473d65bb4ead7217d778a38d56dc2,Mount Vernon Railway Station,55.840336,-4.135251,6,2,8211,8
7fde42277f0af769fa2844ac44fb18bb,Cathcart Railway Station,55.817338,-4.262688,4,8,8206,12
80c191c76711807560f1dee0ec98b9c4,Langside Hall - ELECTRIC,55.831951,-4.277989,3,1,8454,4
8486f63f1088194889096079329cdbdb,Shawlands Railway Station - ELECTRIC,55.827371,-4.29567,5,3,8455,8
85c3b5be1873561dc445f46324d143b7,St Enoch Square - ELECTRIC,55.856859,-4.255593,1,8,8410,12
8af6d6e52a43dc3df9086e10ab9da2a1,Waterloo Street - ELECTRIC,55.86077,-4.264535,0,12,8402,12
90ca952e355fd4673ea26061d13d8841,Anniesland Library,55.890398,-4.324766,3,3,8214,8
90f4aed9eeacf63d2f1a9af8ba77d5bc,Battlefield - ELECTRIC,55.827395,-4.265319,2,7,8466,10
982a00e7910b5eaae622461281c86b53,Dalmarnock Railway Station - ELECTRIC,55.842561,-4.217704,5,3,8456,8
9b7e254f4f98c7ab070e5a9958d420ef,Glasgow Forge (Gallowgate),55.852705,-4.201594,4,4,8436,8
