station_name,place_name,bar,dog_park,restaurant,distance,place_latitude,place_longitude,station_latitude,station_longitude,slots,free_bikes,empty_slots,place_rating
Riverside Museum,Dukes,1.0,0.0,0.0,838.518389500412,55.8669662,-4.2921944,55.865683,-4.305367,6,6,0,4.4
Riverside Museum,BrewDog Glasgow,1.0,0.0,0.0,871.0798039668226,55.8677022872916,-4.29187774658203,55.865683,-4.305367,6,6,0,4.3
Riverside Museum,6 Degrees North,1.0,0.0,0.0,854.5605727622504,55.8708349,-4.3154846,55.865683,-4.305367,6,6,0,4.2
Riverside Museum,Nam Tuk,0.0,0.0,1.0,596.6950054510752,55.8698463439941,-4.29988718032837,55.865683,-4.305367,6,6,0,4.7
Parkhead,Old Black Bull,1.0,0.0,0.0,636.9546173698645,55.85207,-4.200545,55.846524,-4.197475,8,4,4,5.0
Parkhead,The Bank,1.0,0.0,0.0,507.44118737053793,55.8510857,-4.1972446,55.846524,-4.197475,8,4,4,3.0
Parkhead,Kerrydale Bar,1.0,0.0,0.0,608.2192607167877,55.8492154,-4.2059573,55.846524,-4.197475,8,4,4,2.3
Parkhead,Cotters Bar,1.0,0.0,0.0,706.2618091331954,55.8471526,-4.1862805,55.846524,-4.197475,8,4,4,2.0
Parkhead,Okanes,1.0,0.0,0.0,668.2898310692029,55.851709,-4.192041,55.846524,-4.197475,8,4,4,0.0
Tollcross International Swimming Centre,The Drum,1.0,0.0,0.0,960.9195486006514,55.8517458,-4.1685068,55.84425,-4.176167,6,5,1,5.0
Tollcross International Swimming Centre,Strathspey Bar,1.0,0.0,0.0,325.7975134487557,55.8431348,-4.170771,55.84425,-4.176167,6,5,1,0.0
Shields Road,Velvet Lounge,0.0,0.0,1.0,657.8546996470375,55.8469789,-4.2649027,55.845807,-4.275232,8,5,3,5.0
Shields Road,Stanley Bar,1.0,0.0,0.0,748.6002158326303,55.8520319,-4.2800337,55.845807,-4.275232,8,5,3,5.0
Shields Road,Lebowskis South,1.0,0.0,0.0,961.7302849436526,55.8373064791407,-4.27238945636237,55.845807,-4.275232,8,5,3,3.6
Shawlands Shopping Centre (Kilmarnock Road),Granary,1.0,0.0,0.0,141.28297024285249,55.8301852586361,-4.28163464624309,55.829057,-4.282675,8,4,3,4.0
Shawlands Shopping Centre (Kilmarnock Road),Sweet Recreation,1.0,0.0,0.0,86.9849829035419,55.828368,-4.2833222,55.829057,-4.282675,8,4,3,5.0
Shields Road Subway,Laurieston Bar,1.0,0.0,0.0,971.7530984297382,55.852818,-4.259037,55.849924,-4.273727,10,0,9,4.5
Alexandra Parade (West) - ELECTRIC,The Duchess of Duke Street,1.0,0.0,0.0,759.3474385064151,55.8582526,-4.2181825,55.864472,-4.223208,8,0,8,4.1
Alexandra Parade (West) - ELECTRIC,Redmond's,1.0,0.0,0.0,708.227163551888,55.8581314,-4.2234488,55.864472,-4.223208,8,0,8,4.1
Alexandra Parade (West) - ELECTRIC,Crown Creighton,1.0,0.0,0.0,883.8949723602468,55.858256,-4.214414,55.864472,-4.223208,8,0,8,4.0
City of Glasgow College (Riverside Campus) - ELECTRIC,Café Source,1.0,0.0,0.0,586.4570367137421,55.8550195,-4.2434128,55.850554,-4.248127,6,2,4,4.5
City of Glasgow College (Riverside Campus) - ELECTRIC,Brazen Head,1.0,0.0,0.0,511.569856288286,55.847936,-4.2548661,55.850554,-4.248127,6,2,4,4.8
City of Glasgow College (Riverside Campus) - ELECTRIC,BrewDog DogHouse,1.0,0.0,0.0,979.1730563419208,55.8593557,-4.2480296,55.850554,-4.248127,6,2,4,4.4
City of Glasgow College (Riverside Campus) - ELECTRIC,The Blane Valley,1.0,0.0,0.0,960.3902770694392,55.859188,-4.248533,55.850554,-4.248127,6,2,4,4.5
Whiteinch Library,The Thornwood,1.0,0.0,0.0,832.3100750270191,55.8711526,-4.3219181,55.874555,-4.333357,8,5,3,4.3
Whiteinch Library,Abarcrombys Cafe Bar,1.0,0.0,0.0,747.8914715252912,55.876879,-4.344608,55.874555,-4.333357,8,5,3,5.0
Whiteinch Library,The Square Bar And Restaurant,0.0,0.0,1.0,621.2743031460602,55.8761444091797,-4.32382488250732,55.874555,-4.333357,8,5,3,5.0
Whiteinch Library,Granny Gibbs,1.0,0.0,0.0,458.61726215171313,55.8748474,-4.3406904,55.874555,-4.333357,8,5,3,4.0
Whiteinch Library,St Louis,1.0,0.0,0.0,788.3578910406275,55.8712692260742,-4.32215881347656,55.874555,-4.333357,8,5,3,3.7
St Rollox,Spring Park Bar,1.0,0.0,0.0,367.0659508320242,55.8767335,-4.2477527,55.878152,-4.242439,8,0,8,4.0
St Rollox,Ashfield Bar,1.0,0.0,0.0,946.4825583370572,55.8868216,-4.2434495,55.878152,-4.242439,8,0,8,3.0
St Rollox,Bells Bar,1.0,0.0,0.0,876.8778813348305,55.882418,-4.230612,55.878152,-4.242439,8,0,8,1.0
St Rollox,Balmore Bar,1.0,0.0,0.0,993.4059821980188,55.8841281,-4.2544501,55.878152,-4.242439,8,0,8,0.0
University of Strathclyde (South) - ELECTRIC,Fault and Blame,1.0,0.0,0.0,951.196943355522,55.8632826,-4.2563936,55.860633,-4.2419,12,1,10,4.6
University of Strathclyde (South) - ELECTRIC,Atlantic Bar & Brasserie,1.0,0.0,0.0,651.4701693095806,55.8611446,-4.2521637,55.860633,-4.2419,12,1,10,4.6
Buchanan Street Bus Station - ELECTRIC,Mini Grill,1.0,0.0,0.0,819.2115823784326,55.865029,-4.265696,55.864993,-4.252567,10,4,6,4.7
Buchanan Street Bus Station - ELECTRIC,The Butterfly and the Pig,0.0,0.0,1.0,529.5078666133437,55.8641959729238,-4.26093339920044,55.864993,-4.252567,10,4,6,4.6
Springburn Railway Station,Premier Resourcing International,1.0,0.0,0.0,560.2552672371545,55.882166,-4.22166,55.882232,-4.230428,8,1,7,0.0
Springburn Railway Station,Shevlanes Public House,1.0,0.0,0.0,13.074102436393671,55.882418,-4.230612,55.882232,-4.230428,8,1,7,0.0
London Road Central,The Prince Charlie,1.0,0.0,0.0,689.9354220158717,55.8516159,-4.1949944,55.847638,-4.202957,10,5,5,0.0
Glasgow Kelvin College East,Mills Bar,1.0,0.0,0.0,960.4097231186636,55.8582752,-4.2183634,55.857858,-4.203123,10,1,9,4.0
Glasgow Kelvin College East,The Alexandra,1.0,0.0,0.0,735.6846994062172,55.8582739,-4.2146267,55.857858,-4.203123,10,1,9,4.0
Scotstoun South,Bar G's,1.0,0.0,0.0,564.2468551679545,55.8725672,-4.3352167,55.875431,-4.342325,12,9,1,0.0
Scotstoun South,McNabbs Lounge Bar,1.0,0.0,0.0,836.5004281360281,55.8801443,-4.3527772,55.875431,-4.342325,12,9,1,0.0
